Pricing,Month,m2.xlarge,m1.large,m1.xlarge,m3.large,m2.2xlarge,c3.4xlarge,m1.medium,m3.xlarge,m3.medium,g2.2xlarge,m2.4xlarge,c3.large,c3.xlarge,cc2.8xlarge,c3.2xlarge,m3.2xlarge,t1.micro,m1.small,c1.medium,c1.xlarge,t2.micro,t2.medium,t2.small,c3.8xlarge,c4.8xlarge
NU1,201405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PU1,201405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PU3,201405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU1,201405,7,149,109,13,10,2,73,5,3,2,40,3,9,5,7,17,17,102,23,1,0,0,0,0,0
AU3,201405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
