Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
Windows with SQL Standard,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
SLES,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
Windows,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
Linux,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
Windows,AWS GovCloud (US),r3.8xlarge,$3.360 per Hour,1541.76,10387,462.09,15618,19833,364.27,30975
RHEL,AWS GovCloud (US),r3.8xlarge,$3.360 per Hour,1541.76,10387,462.09,15618,19833,364.27,30975
Windows with SQL Standard,AWS GovCloud (US),c3.xlarge,$0.252 per Hour,128.48,782,45.99,1312,1219,39.42,2480
Windows with SQL Standard,AWS GovCloud (US),t2.medium,$0.062 per Hour,32.12,244,10.22,359,523,6.57,713
Windows with SQL Standard,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
RHEL,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Linux,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
Linux,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
SLES,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
RHEL,AWS GovCloud (US),i2.2xlarge,$2.046 per Hour,743.14,4368,272.29,7484,6576,210.97,13325
Linux,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
Windows with SQL Web,AWS GovCloud (US),r3.2xlarge,$0.840 per Hour,385.44,2596,115.34,3904,4958,90.52,7743
SLES,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
Linux,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Windows with SQL Standard,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
RHEL,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
RHEL,AWS GovCloud (US),t2.medium,$0.062 per Hour,32.12,244,10.22,359,523,6.57,713
Windows with SQL Web,AWS GovCloud (US),i2.4xlarge,$4.092 per Hour,1486.28,8736,543.85,14958,13152,421.94,26651
Windows with SQL Standard,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Windows with SQL Standard,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
Windows,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
Windows,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
Windows with SQL Web,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Windows with SQL Standard,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
Windows,AWS GovCloud (US),r3.large,$0.210 per Hour,96.36,649,28.47,976,1239,22.63,1935
RHEL,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
SLES,AWS GovCloud (US),r3.large,$0.210 per Hour,96.36,649,28.47,976,1239,22.63,1935
Windows with SQL Web,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
Windows with SQL Web,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
Linux,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
RHEL,AWS GovCloud (US),i2.4xlarge,$4.092 per Hour,1486.28,8736,543.85,14958,13152,421.94,26651
Windows with SQL Standard,AWS GovCloud (US),i2.xlarge,$1.023 per Hour,371.57,2184,135.78,3737,3288,105.85,6677
SLES,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
Windows with SQL Web,AWS GovCloud (US),t2.medium,$0.062 per Hour,32.12,244,10.22,359,523,6.57,713
Windows with SQL Web,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
Windows with SQL Standard,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
Windows with SQL Standard,AWS GovCloud (US),r3.2xlarge,$0.840 per Hour,385.44,2596,115.34,3904,4958,90.52,7743
Windows,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
Windows,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
RHEL,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
SLES,AWS GovCloud (US),t2.medium,$0.062 per Hour,32.12,244,10.22,359,523,6.57,713
Windows,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
Windows,AWS GovCloud (US),t2.medium,$0.062 per Hour,32.12,244,10.22,359,523,6.57,713
RHEL,AWS GovCloud (US),c3.xlarge,$0.252 per Hour,128.48,782,45.99,1312,1219,39.42,2480
Windows,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
Windows with SQL Standard,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
Linux,AWS GovCloud (US),r3.large,$0.210 per Hour,96.36,649,28.47,976,1239,22.63,1935
Windows with SQL Web,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
Linux,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
RHEL,AWS GovCloud (US),r3.large,$0.210 per Hour,96.36,649,28.47,976,1239,22.63,1935
SLES,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
Windows with SQL Standard,AWS GovCloud (US),i2.2xlarge,$2.046 per Hour,743.14,4368,272.29,7484,6576,210.97,13325
Linux,AWS GovCloud (US),c3.xlarge,$0.252 per Hour,128.48,782,45.99,1312,1219,39.42,2480
Windows with SQL Standard,AWS GovCloud (US),r3.large,$0.210 per Hour,96.36,649,28.47,976,1239,22.63,1935
SLES,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
Windows,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
Linux,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
Windows with SQL Web,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
SLES,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
SLES,AWS GovCloud (US),r3.2xlarge,$0.840 per Hour,385.44,2596,115.34,3904,4958,90.52,7743
SLES,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
SLES,AWS GovCloud (US),c3.xlarge,$0.252 per Hour,128.48,782,45.99,1312,1219,39.42,2480
Windows,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
Linux,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
SLES,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Linux,AWS GovCloud (US),i2.2xlarge,$2.046 per Hour,743.14,4368,272.29,7484,6576,210.97,13325
Windows with SQL Web,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
Windows with SQL Standard,AWS GovCloud (US),i2.4xlarge,$4.092 per Hour,1486.28,8736,543.85,14958,13152,421.94,26651
Windows with SQL Standard,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
Windows with SQL Web,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
Windows with SQL Web,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
SLES,AWS GovCloud (US),i2.xlarge,$1.023 per Hour,371.57,2184,135.78,3737,3288,105.85,6677
Windows with SQL Web,AWS GovCloud (US),r3.8xlarge,$3.360 per Hour,1541.76,10387,462.09,15618,19833,364.27,30975
SLES,AWS GovCloud (US),i2.4xlarge,$4.092 per Hour,1486.28,8736,543.85,14958,13152,421.94,26651
Windows with SQL Web,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
Windows with SQL Standard,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
Windows with SQL Standard,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
Windows with SQL Web,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
RHEL,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
SLES,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
Windows with SQL Standard,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
Windows with SQL Standard,AWS GovCloud (US),i2.8xlarge,$8.184 per Hour,2972.56,17472,1087.7,29917,26304,843.88,53302
Windows with SQL Web,AWS GovCloud (US),c3.xlarge,$0.252 per Hour,128.48,782,45.99,1312,1219,39.42,2480
SLES,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
RHEL,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
Linux,AWS GovCloud (US),i2.xlarge,$1.023 per Hour,371.57,2184,135.78,3737,3288,105.85,6677
RHEL,AWS GovCloud (US),i2.xlarge,$1.023 per Hour,371.57,2184,135.78,3737,3288,105.85,6677
Windows with SQL Web,AWS GovCloud (US),i2.2xlarge,$2.046 per Hour,743.14,4368,272.29,7484,6576,210.97,13325
RHEL,AWS GovCloud (US),c3.4xlarge,$1.008 per Hour,513.92,3129,182.5,5220,4875,157.68,9918
RHEL,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
RHEL,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
SLES,AWS GovCloud (US),i2.2xlarge,$2.046 per Hour,743.14,4368,272.29,7484,6576,210.97,13325
SLES,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
RHEL,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
RHEL,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
Windows,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
Windows,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
Windows,AWS GovCloud (US),i2.xlarge,$1.023 per Hour,371.57,2184,135.78,3737,3288,105.85,6677
Windows,AWS GovCloud (US),hs1.8xlarge,$5.520 per Hour,2254.24,13455,805.92,22664,20308,665.76,41619
Linux,AWS GovCloud (US),c3.2xlarge,$0.504 per Hour,256.96,1564,90.52,2604,2437,78.84,4958
Linux,AWS GovCloud (US),m3.large,$0.168 per Hour,89.06,608,26.28,876,930,24.82,1689
Windows with SQL Standard,AWS GovCloud (US),r3.8xlarge,$3.360 per Hour,1541.76,10387,462.09,15618,19833,364.27,30975
Windows,AWS GovCloud (US),r3.2xlarge,$0.840 per Hour,385.44,2596,115.34,3904,4958,90.52,7743
SLES,AWS GovCloud (US),r3.4xlarge,$1.680 per Hour,770.88,5193,230.68,7809,9916,181.77,15487
Windows with SQL Web,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
SLES,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
Windows,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
Linux,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
RHEL,AWS GovCloud (US),r3.xlarge,$0.420 per Hour,192.72,1298,57.67,1952,2479,45.26,3871
Linux,AWS GovCloud (US),t2.small,$0.031 per Hour,16.06,122,5.11,179,261,2.92,344
Windows with SQL Web,AWS GovCloud (US),m3.2xlarge,$0.672 per Hour,356.24,2429,104.39,3494,3720,97.09,6691
Windows,AWS GovCloud (US),t2.micro,$0.015 per Hour,8.03,61,2.19,85,130,1.46,171
Windows with SQL Standard,AWS GovCloud (US),c3.large,$0.126 per Hour,64.24,391,22.63,651,609,18.98,1225
RHEL,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
Windows with SQL Web,AWS GovCloud (US),m3.medium,$0.084 per Hour,44.53,304,13.14,438,465,12.41,845
RHEL,AWS GovCloud (US),m3.xlarge,$0.336 per Hour,178.12,1215,51.83,1744,1860,48.91,3357
Linux,AWS GovCloud (US),c3.8xlarge,$2.016 per Hour,1027.84,6259,365,10429,9751,313.9,19808
Linux,AWS GovCloud (US),i2.4xlarge,$4.092 per Hour,1486.28,8736,543.85,14958,13152,421.94,26651
Linux,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
Linux,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
RHEL,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
Windows with SQL Standard,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
SLES,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
Windows with SQL Standard,EU (Frankfurt),t2.small,$0.030 per Hour,16.06,110,5.84,176,224,4.38,358
SLES,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
RHEL,EU (Frankfurt),t2.small,$0.030 per Hour,16.06,110,5.84,176,224,4.38,358
Linux,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
Windows with SQL Web,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
RHEL,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
SLES,EU (Frankfurt),m3.2xlarge,$0.665 per Hour,367.92,2071,164.25,3961,3288,132.86,7586
Linux,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
RHEL,EU (Frankfurt),r3.large,$0.210 per Hour,112.42,783,31.39,1136,1511,24.82,2260
SLES,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
Linux,EU (Frankfurt),t2.small,$0.030 per Hour,16.06,110,5.84,176,224,4.38,358
Windows,EU (Frankfurt),r3.large,$0.210 per Hour,112.42,783,31.39,1136,1511,24.82,2260
Windows with SQL Standard,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
SLES,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
RHEL,EU (Frankfurt),r3.4xlarge,$1.684 per Hour,899.36,6267,251.12,9094,12084,198.56,18078
Linux,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
SLES,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
RHEL,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
Windows,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
RHEL,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows with SQL Standard,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
Windows with SQL Standard,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
RHEL,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
SLES,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
Windows,EU (Frankfurt),i2.2xlarge,$2.026 per Hour,811.76,4257,340.18,8172,6698,270.83,15461
Windows with SQL Web,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
RHEL,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
Linux,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
SLES,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
Windows with SQL Standard,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
RHEL,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
RHEL,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
SLES,EU (Frankfurt),c3.8xlarge,$2.064 per Hour,1121.28,6096,482.53,11648,12230,351.86,23403
Windows,EU (Frankfurt),c3.8xlarge,$2.064 per Hour,1121.28,6096,482.53,11648,12230,351.86,23403
Windows,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows with SQL Web,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
SLES,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
Linux,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
Windows,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
Windows with SQL Web,EU (Frankfurt),r3.4xlarge,$1.684 per Hour,899.36,6267,251.12,9094,12084,198.56,18078
Windows,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
Windows with SQL Web,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
Windows with SQL Standard,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
Windows with SQL Standard,EU (Frankfurt),i2.2xlarge,$2.026 per Hour,811.76,4257,340.18,8172,6698,270.83,15461
Windows,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
Windows with SQL Standard,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
Windows,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
SLES,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
Windows with SQL Standard,EU (Frankfurt),c3.8xlarge,$2.064 per Hour,1121.28,6096,482.53,11648,12230,351.86,23403
Linux,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
Windows with SQL Web,EU (Frankfurt),m3.2xlarge,$0.665 per Hour,367.92,2071,164.25,3961,3288,132.86,7586
Windows with SQL Web,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
RHEL,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
RHEL,EU (Frankfurt),c3.8xlarge,$2.064 per Hour,1121.28,6096,482.53,11648,12230,351.86,23403
Windows with SQL Standard,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
SLES,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
RHEL,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
Linux,EU (Frankfurt),r3.4xlarge,$1.684 per Hour,899.36,6267,251.12,9094,12084,198.56,18078
RHEL,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
Windows with SQL Standard,EU (Frankfurt),m3.2xlarge,$0.665 per Hour,367.92,2071,164.25,3961,3288,132.86,7586
Windows with SQL Web,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
RHEL,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
SLES,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
Linux,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
Windows with SQL Web,EU (Frankfurt),r3.8xlarge,$3.369 per Hour,1798.72,12534,502.24,18189,24169,397.12,36157
Windows with SQL Web,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
Windows,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
Windows with SQL Standard,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
Windows with SQL Standard,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
Windows with SQL Web,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
Windows,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
Linux,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
Windows with SQL Web,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows with SQL Standard,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
RHEL,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
Windows with SQL Web,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
Windows,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
Windows with SQL Web,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
RHEL,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
Linux,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
RHEL,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
SLES,EU (Frankfurt),i2.2xlarge,$2.026 per Hour,811.76,4257,340.18,8172,6698,270.83,15461
Windows,EU (Frankfurt),t2.small,$0.030 per Hour,16.06,110,5.84,176,224,4.38,358
Windows with SQL Standard,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
SLES,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
SLES,EU (Frankfurt),c3.4xlarge,$1.032 per Hour,560.64,3047,240.9,5819,6115,175.93,11701
Windows with SQL Web,EU (Frankfurt),r3.xlarge,$0.421 per Hour,224.84,1566,62.78,2272,3021,49.64,4519
Linux,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
SLES,EU (Frankfurt),r3.large,$0.210 per Hour,112.42,783,31.39,1136,1511,24.82,2260
Windows with SQL Web,EU (Frankfurt),c3.2xlarge,$0.516 per Hour,280.32,1523,120.45,2909,3057,87.6,5837
Windows,EU (Frankfurt),c3.large,$0.129 per Hour,70.08,380,29.93,724,764,22.63,1483
Windows with SQL Web,EU (Frankfurt),t2.small,$0.030 per Hour,16.06,110,5.84,176,224,4.38,358
Windows with SQL Web,EU (Frankfurt),i2.2xlarge,$2.026 per Hour,811.76,4257,340.18,8172,6698,270.83,15461
Windows with SQL Standard,EU (Frankfurt),t2.micro,$0.015 per Hour,8.03,55,2.92,88,112,2.19,179
Linux,EU (Frankfurt),r3.large,$0.210 per Hour,112.42,783,31.39,1136,1511,24.82,2260
Linux,EU (Frankfurt),m3.2xlarge,$0.665 per Hour,367.92,2071,164.25,3961,3288,132.86,7586
Windows with SQL Web,EU (Frankfurt),r3.large,$0.210 per Hour,112.42,783,31.39,1136,1511,24.82,2260
Windows,EU (Frankfurt),i2.4xlarge,$4.051 per Hour,1623.52,8514,679.63,16336,13396,541.66,30922
SLES,EU (Frankfurt),c3.xlarge,$0.258 per Hour,140.16,762,60.59,1459,1528,43.8,2918
SLES,EU (Frankfurt),m3.medium,$0.083 per Hour,45.99,259,20.44,494,412,16.79,955
Windows,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
RHEL,EU (Frankfurt),i2.2xlarge,$2.026 per Hour,811.76,4257,340.18,8172,6698,270.83,15461
Linux,EU (Frankfurt),c3.8xlarge,$2.064 per Hour,1121.28,6096,482.53,11648,12230,351.86,23403
Windows,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
SLES,EU (Frankfurt),r3.4xlarge,$1.684 per Hour,899.36,6267,251.12,9094,12084,198.56,18078
Windows with SQL Standard,EU (Frankfurt),m3.xlarge,$0.332 per Hour,183.96,1036,82.49,1985,1643,66.43,3792
Linux,EU (Frankfurt),m3.large,$0.166 per Hour,91.98,518,41.61,996,823,33.58,1909
Linux,EU (Frankfurt),i2.xlarge,$1.013 per Hour,405.88,2128,170.09,4085,3350,135.78,7743
Linux,EU (Frankfurt),i2.8xlarge,$8.102 per Hour,3247.04,17029,1359.26,32673,26793,1083.32,61844
Windows with SQL Standard,EU (Frankfurt),r3.2xlarge,$0.842 per Hour,449.68,3133,125.56,4546,6042,99.28,9039
Windows with SQL Web,EU (Frankfurt),t2.medium,$0.060 per Hour,32.12,220,11.68,352,448,8.76,717
Windows with SQL Standard,EU (Frankfurt),r3.4xlarge,$1.684 per Hour,899.36,6267,251.12,9094,12084,198.56,18078
