Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
RHEL,Asia Pacific (Singapore),m3.medium,$0.098 per Hour,49.64,245,22.63,506,370,18.25,965
Linux,Asia Pacific (Singapore),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
Windows with SQL Standard,Asia Pacific (Singapore),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Windows with SQL Standard,Asia Pacific (Singapore),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
RHEL,Asia Pacific (Singapore),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Linux,Asia Pacific (Singapore),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
SLES,Asia Pacific (Singapore),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
RHEL,Asia Pacific (Singapore),t2.micro,$0.020 per Hour,11.68,79,4.38,128,178,3.65,290
SLES,Asia Pacific (Singapore),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
Windows,Asia Pacific (Singapore),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows,Asia Pacific (Singapore),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows,Asia Pacific (Singapore),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
Windows with SQL Web,Asia Pacific (Singapore),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows with SQL Web,Asia Pacific (Singapore),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
Windows,Asia Pacific (Singapore),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
SLES,Asia Pacific (Singapore),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
SLES,Asia Pacific (Singapore),c4.xlarge,$0.304 per Hour,164.98,852,71.54,1676,1798,49.64,3370
Windows with SQL Web,Asia Pacific (Singapore),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
Windows with SQL Standard,Asia Pacific (Singapore),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
Linux,Asia Pacific (Singapore),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
RHEL,Asia Pacific (Singapore),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
SLES,Asia Pacific (Singapore),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
Windows with SQL Standard,Asia Pacific (Singapore),g2.2xlarge,$1.000 per Hour,563.56,4077,183.23,6150,9088,108.04,12198
RHEL,Asia Pacific (Singapore),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
Linux,Asia Pacific (Singapore),r3.large,$0.210 per Hour,114.61,777,35.04,1173,1482,27.74,2331
SLES,Asia Pacific (Singapore),g2.2xlarge,$1.000 per Hour,563.56,4077,183.23,6150,9088,108.04,12198
Windows with SQL Standard,Asia Pacific (Singapore),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
Windows with SQL Web,Asia Pacific (Singapore),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
SLES,Asia Pacific (Singapore),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
RHEL,Asia Pacific (Singapore),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
Linux,Asia Pacific (Singapore),i2.4xlarge,$4.070 per Hour,1781.2,10483,652.62,17948,15782,506.62,31979
SLES,Asia Pacific (Singapore),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Standard,Asia Pacific (Singapore),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
Linux,Asia Pacific (Singapore),c4.2xlarge,$0.608 per Hour,329.96,1704,143.08,3352,3596,99.28,6740
Windows with SQL Web,Asia Pacific (Singapore),hs1.8xlarge,$5.570 per Hour,2305.34,14191,788.4,23178,26280,730,49406
Windows with SQL Standard,Asia Pacific (Singapore),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
RHEL,Asia Pacific (Singapore),i2.xlarge,$1.018 per Hour,445.3,2621,162.79,4482,3946,127.02,8007
Windows,Asia Pacific (Singapore),c3.xlarge,$0.265 per Hour,143.08,713,64.24,1454,1077,56.94,2939
Windows,Asia Pacific (Singapore),g2.2xlarge,$1.000 per Hour,563.56,4077,183.23,6150,9088,108.04,12198
RHEL,Asia Pacific (Singapore),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows,Asia Pacific (Singapore),i2.2xlarge,$2.035 per Hour,890.6,5242,327.04,8983,7891,253.31,15989
SLES,Asia Pacific (Singapore),m3.2xlarge,$0.784 per Hour,397.12,1961,181.04,4050,2961,146,7723
Linux,Asia Pacific (Singapore),c4.4xlarge,$1.216 per Hour,659.92,3408,286.16,6704,7192,198.56,13480
Linux,Asia Pacific (Singapore),c3.4xlarge,$1.058 per Hour,572.32,2852,258.42,5833,4306,228.49,11779
RHEL,Asia Pacific (Singapore),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
RHEL,Asia Pacific (Singapore),c4.8xlarge,$2.432 per Hour,1319.84,6816,572.32,13408,14384,397.12,26960
Linux,Asia Pacific (Singapore),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows with SQL Web,Asia Pacific (Singapore),g2.2xlarge,$1.000 per Hour,563.56,4077,183.23,6150,9088,108.04,12198
Linux,Asia Pacific (Singapore),m3.large,$0.196 per Hour,99.28,491,45.26,1013,741,36.5,1931
Windows with SQL Web,Asia Pacific (Singapore),r3.2xlarge,$0.840 per Hour,458.44,3108,140.16,4694,5928,109.5,9277
Windows,Asia Pacific (Singapore),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
SLES,Asia Pacific (Singapore),c3.2xlarge,$0.529 per Hour,286.16,1426,129.21,2916,2153,114.61,5902
SLES,Asia Pacific (Singapore),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
Windows with SQL Standard,Asia Pacific (Singapore),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows,Asia Pacific (Singapore),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
Linux,Asia Pacific (Singapore),c3.8xlarge,$2.117 per Hour,1144.64,5704,516.11,11659,8613,456.98,23560
Windows with SQL Web,Asia Pacific (Singapore),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
SLES,Asia Pacific (Singapore),r3.xlarge,$0.420 per Hour,229.22,1554,70.08,2347,2964,54.75,4638
Windows,Asia Pacific (Singapore),c3.large,$0.132 per Hour,71.54,356,32.12,726,538,28.47,1469
RHEL,Asia Pacific (Singapore),m3.2xlarge,$0.784 per Hour,397.12,1961,181.04,4050,2961,146,7723
Linux,Asia Pacific (Singapore),c3.2xlarge,$0.529 per Hour,286.16,1426,129.21,2916,2153,114.61,5902
SLES,Asia Pacific (Singapore),r3.8xlarge,$3.360 per Hour,1833.76,12432,560.64,18776,23712,438,37111
SLES,Asia Pacific (Singapore),c4.large,$0.152 per Hour,82.49,426,35.77,838,899,24.82,1685
Windows with SQL Web,Asia Pacific (Singapore),t2.small,$0.040 per Hour,23.36,158,8.76,257,356,7.3,581
Windows with SQL Web,Asia Pacific (Singapore),t2.medium,$0.080 per Hour,46.72,316,17.52,515,712,14.6,1163
Windows with SQL Standard,Asia Pacific (Singapore),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
RHEL,Asia Pacific (Singapore),i2.8xlarge,$8.140 per Hour,3562.4,20966,1305.24,35896,31565,1013.24,63959
Windows with SQL Standard,Asia Pacific (Singapore),r3.4xlarge,$1.680 per Hour,916.88,6216,280.32,9388,11856,219,18555
Windows with SQL Web,Asia Pacific (Singapore),m3.xlarge,$0.392 per Hour,198.56,981,90.52,2025,1481,73,3862
